date,PM10,PM2.5,OZONE,NO2,CO,SO2
2019-04-16,49,20,0.032,0.027000000000000003,0.4,0.005
2019-04-17,48,23,0.028999999999999998,0.028999999999999998,0.4,0.006999999999999999
2019-04-18,39,23,0.031,0.017,0.3,0.004
2019-04-19,44,30,0.032,0.012,0.3,0.004
2019-04-20,46,23,0.044000000000000004,0.01,0.3,0.004
2019-04-21,34,26,0.048,0.006999999999999999,0.3,0.004
2019-04-22,101,39,0.039,0.021,0.4,0.004
2019-04-23,80,47,0.04,0.024,0.4,0.004
2019-04-24,39,30,0.035,0.017,0.3,0.003
2019-04-25,37,24,0.022000000000000002,0.016,0.3,0.003
2019-04-26,21,11,0.022000000000000002,0.015,0.3,0.003
2019-04-27,15,6,0.022000000000000002,0.019,0.2,0.003
2019-04-28,20,14,0.027999999999999997,0.016,0.2,0.004
2019-04-29,24,18,0.016,0.026000000000000002,0.3,0.003
2019-04-30,29,21,0.025,0.022000000000000002,0.3,0.004
2019-05-01,57,28,0.038,0.012,0.2,0.004
2019-05-02,69,20,0.022000000000000002,0.023,0.4,0.004
2019-05-03,56,29,0.036000000000000004,0.026000000000000002,0.7,0.006999999999999999
2019-05-04,77,61,0.047,0.024,0.7,0.006999999999999999
2019-05-05,67,46,0.045,0.019,0.7,0.006
2019-05-06,48,12,0.036000000000000004,0.006999999999999999,0.4,0.005
2019-05-07,54,18,0.033,0.017,0.5,0.006
2019-05-08,51,22,0.037000000000000005,0.019,0.6,0.006999999999999999
2019-05-09,44,25,0.037000000000000005,0.016,0.5,0.006
2019-05-10,49,33,0.031,0.027999999999999997,0.6,0.006
2019-05-11,54,33,0.033,0.023,0.6,0.006999999999999999
2019-05-12,60,33,0.048,0.027999999999999997,0.6,0.006
2019-05-13,48,34,0.031,0.025,0.3,0.006999999999999999
2019-05-14,48,35,0.04,0.018000000000000002,0.4,0.006999999999999999
2019-05-15,67,50,0.04,0.02,0.5,0.006999999999999999
2019-05-16,65,50,0.04,0.021,0.6,0.006999999999999999
2019-05-17,65,50,0.031,0.032,0.5,0.006999999999999999
2019-05-18,28,17,0.039,0.006999999999999999,0.3,0.005
2019-05-19,16,6,0.028999999999999998,0.005,0.3,0.004
2019-05-20,36,9,0.033,0.006999999999999999,0.3,0.005
